MXNET


TENSORFLOW
epoch 237, loss 0.3338, train acc 0.983, test acc 0.850
epoch 238, loss 0.3331, train acc 0.983, test acc 0.850
epoch 239, loss 0.3325, train acc 0.983, test acc 0.850
epoch 240, loss 0.3321, train acc 0.983, test acc 0.850
epoch 241, loss 0.3319, train acc 0.983, test acc 0.850
epoch 242, loss 0.3318, train acc 0.983, test acc 0.850
epoch 243, loss 0.3316, train acc 0.983, test acc 0.850
epoch 244, loss 0.3314, train acc 0.983, test acc 0.850
epoch 245, loss 0.3313, train acc 0.983, test acc 0.850
epoch 246, loss 0.3311, train acc 0.983, test acc 0.850
epoch 247, loss 0.3310, train acc 0.983, test acc 0.850
epoch 248, loss 0.3308, train acc 0.983, test acc 0.850
epoch 249, loss 0.3307, train acc 0.983, test acc 0.850
epoch 250, loss 0.3306, train acc 0.983, test acc 0.850
epoch 251, loss 0.3305, train acc 0.983, test acc 0.850
epoch 252, loss 0.3304, train acc 0.983, test acc 0.850
epoch 253, loss 0.3303, train acc 0.983, test acc 0.850
epoch 254, loss 0.3302, train acc 0.983, test acc 0.850
epoch 255, loss 0.3302, train acc 0.983, test acc 0.850
epoch 256, loss 0.3301, train acc 0.983, test acc 0.850
epoch 257, loss 0.3301, train acc 0.983, test acc 0.850
epoch 258, loss 0.3301, train acc 0.983, test acc 0.850
epoch 259, loss 0.3300, train acc 0.983, test acc 0.850
epoch 260, loss 0.3300, train acc 0.983, test acc 0.850
epoch 261, loss 0.3299, train acc 0.983, test acc 0.850
epoch 262, loss 0.3299, train acc 0.983, test acc 0.850
epoch 263, loss 0.3299, train acc 0.983, test acc 0.850
epoch 264, loss 0.3298, train acc 0.983, test acc 0.850
epoch 265, loss 0.3298, train acc 0.983, test acc 0.850
epoch 266, loss 0.3297, train acc 0.983, test acc 0.850
epoch 267, loss 0.3297, train acc 0.983, test acc 0.850
epoch 268, loss 0.3297, train acc 0.983, test acc 0.850
epoch 269, loss 0.3297, train acc 0.983, test acc 0.850
epoch 270, loss 0.3296, train acc 0.983, test acc 0.850
epoch 271, loss 0.3296, train acc 0.983, test acc 0.850
epoch 272, loss 0.3296, train acc 0.983, test acc 0.850
epoch 273, loss 0.3296, train acc 0.983, test acc 0.850
epoch 274, loss 0.3296, train acc 0.983, test acc 0.850
epoch 275, loss 0.3296, train acc 0.983, test acc 0.850
epoch 276, loss 0.3296, train acc 0.983, test acc 0.850
epoch 277, loss 0.3296, train acc 0.983, test acc 0.850
epoch 278, loss 0.3295, train acc 0.983, test acc 0.850
epoch 279, loss 0.3295, train acc 0.983, test acc 0.850
epoch 280, loss 0.3295, train acc 0.983, test acc 0.850
epoch 281, loss 0.3295, train acc 0.983, test acc 0.850
epoch 282, loss 0.3295, train acc 0.983, test acc 0.850
epoch 283, loss 0.3295, train acc 0.983, test acc 0.850
epoch 284, loss 0.3295, train acc 0.983, test acc 0.850
epoch 285, loss 0.3295, train acc 0.983, test acc 0.850
epoch 286, loss 0.3295, train acc 0.983, test acc 0.850
epoch 287, loss 0.3295, train acc 0.983, test acc 0.850
epoch 288, loss 0.3295, train acc 0.983, test acc 0.850
epoch 289, loss 0.3295, train acc 0.983, test acc 0.850
epoch 290, loss 0.3295, train acc 0.983, test acc 0.850
epoch 291, loss 0.3295, train acc 0.983, test acc 0.850
epoch 292, loss 0.3295, train acc 0.983, test acc 0.850
epoch 293, loss 0.3295, train acc 0.983, test acc 0.850
epoch 294, loss 0.3295, train acc 0.983, test acc 0.850
epoch 295, loss 0.3295, train acc 0.983, test acc 0.850
epoch 296, loss 0.3295, train acc 0.983, test acc 0.850
epoch 297, loss 0.3295, train acc 0.983, test acc 0.850
epoch 298, loss 0.3295, train acc 0.983, test acc 0.850
epoch 299, loss 0.3295, train acc 0.983, test acc 0.850
epoch 300, loss 0.3295, train acc 0.983, test acc 0.850
